FID,GEOID10,ZCTA5CE10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,GEOG_UNIT,Cases,cases_nume,zcta,pop_total,White,Hispanic_o,Black_or_A,Asian,American_I,Two_or_mor,pct_nonwhi,pct_black,pct_latinx,pct_asian,pct_native,largest_mi,cases_per_,index_righ,year,geoid,name,variable,estimate,moe
0,55001,55001,B5,G6350,S,68259462.000000000000000,2608491.000000000000000,+44.8987758,-092.8191076,39427.686285499999940,70811629.510100007057190,55001,10,10.000000000000000,55001,3019.000000000000000,2737.000000000000000,79.000000000000000,40.000000000000000,107.000000000000000,0.000000000000000,55.000000000000000,0.093408413381915,0.013249420337860,0.026167605167274,0.035442199403776,0.000000000000000,asian,3.312355084465055,81.000000000000000,2018,55001,ZCTA5 55001,median_hh_income,114453,9561
1,55003,55003,B5,G6350,S,5404605.000000000000000,2877528.000000000000000,+45.0116248,-092.7791627,14563.009541800000079,8275577.940170000307262,55003,12,12.000000000000000,55003,4262.000000000000000,3027.000000000000000,129.000000000000000,632.000000000000000,34.000000000000000,185.000000000000000,254.000000000000000,0.289770061004223,0.148287189113092,0.030267480056312,0.007977475363679,0.043406851243548,black,2.815579540122009,81.000000000000000,2018,55003,ZCTA5 55003,median_hh_income,79107,7719
2,55005,55005,B5,G6350,S,49968324.000000000000000,2427079.000000000000000,+45.3961066,-093.2184645,57466.145321600000898,52353897.249899998307228,55005,8,8.000000000000000,55005,4623.000000000000000,4397.000000000000000,35.000000000000000,42.000000000000000,44.000000000000000,0.000000000000000,105.000000000000000,0.048886004758815,0.009085009733939,0.007570841444949,0.009517629245079,0.000000000000000,asian,1.730478044559810,1.000000000000000,2018,55005,ZCTA5 55005,median_hh_income,85750,12652
3,55009,55009,B5,G6350,S,315288552.000000000000000,6644398.000000000000000,+44.4838725,-092.8651558,127324.040047000002232,321676555.191999971866608,55009,46,46.000000000000000,55009,7761.000000000000000,7432.000000000000000,116.000000000000000,7.000000000000000,42.000000000000000,6.000000000000000,158.000000000000000,0.042391444401495,0.000901945625564,0.014946527509342,0.005411673753382,0.000773096250483,latinx,5.927071253704419,18.000000000000000,2018,55009,ZCTA5 55009,median_hh_income,72906,3026
4,55011,55011,B5,G6350,S,116674768.000000000000000,4362764.000000000000000,+45.3407404,-093.2533128,63141.650215599998774,120941948.924999997019768,55011,36,36.000000000000000,55011,10494.000000000000000,9376.000000000000000,153.000000000000000,100.000000000000000,614.000000000000000,65.000000000000000,165.000000000000000,0.106537068801220,0.009529254812274,0.014579759862779,0.058509624547360,0.006194015627978,asian,3.430531732418525,1.000000000000000,2018,55011,ZCTA5 55011,median_hh_income,92452,10004
5,55013,55013,B5,G6350,S,75784133.000000000000000,14461812.000000000000000,+45.3384710,-092.9054192,75246.865679599999567,90173924.567900002002716,55013,9,9.000000000000000,55013,6810.000000000000000,6451.000000000000000,119.000000000000000,13.000000000000000,38.000000000000000,18.000000000000000,171.000000000000000,0.052716593245228,0.001908957415565,0.017474302496329,0.005580029368576,0.002643171806167,latinx,1.321585903083700,81.000000000000000,2018,55013,ZCTA5 55013,median_hh_income,84146,5562
6,55014,55014,B5,G6350,S,48420235.000000000000000,7792423.000000000000000,+45.1618259,-093.1279967,35686.662886899997829,56167836.420500002801418,55014,131,131.000000000000000,55014,28039.000000000000000,24570.000000000000000,453.000000000000000,800.000000000000000,863.000000000000000,156.000000000000000,1197.000000000000000,0.123720532115981,0.028531688005992,0.016156068333393,0.030778558436463,0.005563679161168,asian,4.672063910981133,1.000000000000000,2018,55014,ZCTA5 55014,median_hh_income,89089,4954
7,55016,55016,B5,G6350,S,75565902.000000000000000,9795801.000000000000000,+44.8176913,-092.9346223,50935.942519700001867,85293500.041600003838539,55016,223,223.000000000000000,55016,35783.000000000000000,28628.000000000000000,1380.000000000000000,1668.000000000000000,2648.000000000000000,159.000000000000000,1204.000000000000000,0.199955286029679,0.046614314059749,0.038565799401951,0.074001620881424,0.004443450800660,asian,6.232009613503619,81.000000000000000,2018,55016,ZCTA5 55016,median_hh_income,94621,3807
8,55018,55018,B5,G6350,S,124824730.000000000000000,31946.000000000000000,+44.4239715,-092.9961746,80417.518860600001062,124756853.777999997138977,55018,0,0.000000000000000,55018,916.000000000000000,866.000000000000000,27.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,23.000000000000000,0.054585152838428,0.000000000000000,0.029475982532751,0.000000000000000,0.000000000000000,latinx,0.000000000000000,18.000000000000000,2018,55018,ZCTA5 55018,median_hh_income,86023,7671
9,55020,55020,B5,G6350,S,64710419.000000000000000,573701.000000000000000,+44.5755396,-093.3735692,66485.739593999998760,65233311.326700001955032,55020,15,15.000000000000000,55020,3750.000000000000000,3511.000000000000000,14.000000000000000,9.000000000000000,115.000000000000000,0.000000000000000,101.000000000000000,0.063733333333333,0.002400000000000,0.003733333333333,0.030666666666667,0.000000000000000,asian,4.000000000000000,68.000000000000000,2018,55020,ZCTA5 55020,median_hh_income,118558,11962
10,55024,55024,B5,G6350,S,230588203.000000000000000,3089275.000000000000000,+44.6271311,-093.1251368,98362.868593999999575,233491348.886000007390976,55024,104,104.000000000000000,55024,35035.000000000000000,30850.000000000000000,1511.000000000000000,452.000000000000000,612.000000000000000,333.000000000000000,1191.000000000000000,0.119451976594834,0.012901384329956,0.043128300271157,0.017468246039675,0.009504780933352,latinx,2.968460111317254,18.000000000000000,2018,55024,ZCTA5 55024,median_hh_income,94054,2945
11,55025,55025,B5,G6350,S,204075648.000000000000000,20913061.000000000000000,+45.2632336,-093.0220244,90390.734067400000640,224808926.085000008344650,55025,95,95.000000000000000,55025,24679.000000000000000,22243.000000000000000,820.000000000000000,260.000000000000000,424.000000000000000,213.000000000000000,704.000000000000000,0.098707403055229,0.010535272904088,0.033226629928279,0.017180598889744,0.008630819725272,latinx,3.849426638032335,1.000000000000000,2018,55025,ZCTA5 55025,median_hh_income,84981,5319
